authorID,new_country_code,new_afftype,Coder,firstName,genderize,doi,gender_prediction,race_prediction,race
10.1093/jcmc/zmab005+1.0,US,Education,Jeff,Jingbo,male,10.1093/jcmc/zmab005,F,2,Asian
10.1093/ct/qtaa018+1.0,NO,Education,Jeff,Brita,female,10.1093/ct/qtaa018,F,0,White
10.1093/joc/jqab029+10.0,NL,Education,Jeff,Payal,female,10.1093/joc/jqab029,F,0,White
10.1093/joc/jqab030+2.0,KR,Education,Jeff,Hyunjin,female,10.1093/joc/jqab030,M,2,Asian
10.1093/hcr/hqab001+2.0,US,Education,Jeff,Bryant,male,10.1093/hcr/hqab001,M,0,White
10.1093/joc/jqab021+5.0,IL,Education,Jeff,Saki,female,10.1093/joc/jqab021,F,2,Asian
10.1093/joc/jqab008+2.0,CN,Education,Jeff,Xinzhi,female,10.1093/joc/jqab008,M,2,Asian
10.1093/ct/qtaa015+1.0,AT,Education,Jeff,Anthony,male,10.1093/ct/qtaa015,M,0,White
10.1093/ccc/tcaa002+1.0,US,Education,Jeff,Jasmine,female,10.1093/ccc/tcaa002,F,0,White
10.1093/ccc/tcab050+2.0,GB,Education,Jeff,Sophie,female,10.1093/ccc/tcab050,F,0,White
10.1093/jcmc/zmab010+2.0,US,Education,Jeff,Maria,female,10.1093/jcmc/zmab010,F,3,Hispanic
10.1093/ct/qtz036+1.0,US,Education,Jeff,Devin,male,10.1093/ct/qtz036,M,0,White
10.1093/jcmc/zmab003+2.0,SG,Education,Jeff,Justin,male,10.1093/jcmc/zmab003,M,2,Asian
10.1093/jcmc/zmaa020+2.0,US,Education,Jeff,Yucheng,male,10.1093/jcmc/zmaa020,M,2,Asian
10.1093/joc/jqaa042+8.0,US,Education,Jeff,Chris,male,10.1093/joc/jqaa042,M,0,White
10.1093/joc/jqaa039+5.0,NL,Education,Jeff,Loes,female,10.1093/joc/jqaa039,F,0,White
10.1093/hcr/hqaa011+1.0,US,Education,Jeff,Jacob,male,10.1093/hcr/hqaa011,M,0,White
10.1093/ct/qtz038+2.0,US,Education,Jeff,Chigozirim,male,10.1093/ct/qtz038,F,1,Black
10.1093/ct/qtaa004+1.0,DK,Education,Jeff,Sine,female,10.1093/ct/qtaa004,F,0,White
10.1093/ccc/tcab006+1.0,US,Education,Jeff,Emily,female,10.1093/ccc/tcab006,F,0,White
10.1093/jcmc/zmaa014+4.0,DE,Education,Jeff,Philipp,male,10.1093/jcmc/zmaa014,M,0,White
10.1093/jcmc/zmab010+3.0,US,Education,Jeff,Eugene,male,10.1093/jcmc/zmab010,F,2,Asian
